序号,起始SOC(%),结束SOC(%),SOC增量(%),预测时长(分钟),预测时长(小时)
1163,12,41,29,20.86,0.348
1164,12,42,30,20.86,0.348
1165,12,43,31,20.86,0.348
1166,12,44,32,20.86,0.348
1167,12,45,33,30.99,0.517
1168,12,46,34,30.99,0.517
1169,12,47,35,30.99,0.517
1170,12,48,36,30.99,0.517
1171,12,49,37,30.99,0.517
1172,12,50,38,33.35,0.556
1173,12,51,39,33.35,0.556
1174,12,52,40,33.35,0.556
1175,12,53,41,33.35,0.556
1176,12,54,42,33.35,0.556
1177,12,55,43,37.04,0.617
1178,12,56,44,37.04,0.617
1179,12,57,45,37.04,0.617
1180,12,58,46,37.04,0.617
1181,12,59,47,37.04,0.617
1182,12,60,48,40.93,0.682
1183,12,61,49,40.93,0.682
1184,12,62,50,40.93,0.682
1185,12,63,51,40.93,0.682
1186,12,64,52,40.93,0.682
1187,12,65,53,42.12,0.702
1188,12,66,54,42.12,0.702
1189,12,67,55,42.12,0.702
1190,12,68,56,42.12,0.702
1191,12,69,57,42.12,0.702
1192,12,70,58,42.04,0.701
1193,12,71,59,42.04,0.701
1194,12,72,60,42.04,0.701
1195,12,73,61,42.04,0.701
1196,12,74,62,42.04,0.701
1197,12,75,63,45.49,0.758
1198,12,76,64,45.49,0.758
1199,12,77,65,45.49,0.758
1200,12,78,66,45.49,0.758
1201,12,79,67,45.49,0.758
1202,12,80,68,45.49,0.758
1203,12,81,69,45.49,0.758
1204,12,82,70,45.49,0.758
1205,12,83,71,45.49,0.758
1206,12,84,72,45.49,0.758
1207,12,85,73,45.49,0.758
1208,12,86,74,45.49,0.758
1209,12,87,75,45.49,0.758
1210,12,88,76,45.49,0.758
1211,12,89,77,45.49,0.758
1212,12,90,78,45.49,0.758
1213,12,91,79,46.2,0.77
1214,12,92,80,46.2,0.77
1215,12,93,81,49.23,0.821
1216,12,94,82,49.23,0.821
1217,12,95,83,49.23,0.821
1218,12,96,84,49.23,0.821
1219,12,97,85,49.23,0.821
1220,12,98,86,51.37,0.856
1221,12,99,87,51.37,0.856
1222,12,100,88,52.02,0.867
1223,13,14,1,7.94,0.132
1224,13,15,2,7.94,0.132
1225,13,16,3,7.94,0.132
1226,13,17,4,7.94,0.132
1227,13,18,5,7.94,0.132
1228,13,19,6,7.94,0.132
1229,13,20,7,7.94,0.132
1230,13,21,8,7.8,0.13
1231,13,22,9,7.8,0.13
1232,13,23,10,7.8,0.13
1233,13,24,11,7.8,0.13
1234,13,25,12,7.8,0.13
1235,13,26,13,13.88,0.231
1236,13,27,14,13.88,0.231
1237,13,28,15,13.88,0.231
1238,13,29,16,13.88,0.231
1239,13,30,17,13.88,0.231
1240,13,31,18,18.05,0.301
1241,13,32,19,18.05,0.301
1242,13,33,20,18.05,0.301
1243,13,34,21,18.05,0.301
1244,13,35,22,18.05,0.301
1245,13,36,23,18.14,0.302
1246,13,37,24,18.14,0.302
1247,13,38,25,18.14,0.302
1248,13,39,26,18.14,0.302
1249,13,40,27,18.14,0.302
1250,13,41,28,20.86,0.348
1251,13,42,29,20.86,0.348
1252,13,43,30,20.86,0.348
1253,13,44,31,20.86,0.348
1254,13,45,32,20.86,0.348
1255,13,46,33,30.99,0.517
1256,13,47,34,30.99,0.517
1257,13,48,35,30.99,0.517
1258,13,49,36,30.99,0.517
1259,13,50,37,30.99,0.517
1260,13,51,38,33.35,0.556
1261,13,52,39,33.35,0.556
1262,13,53,40,33.35,0.556
1263,13,54,41,33.35,0.556
1264,13,55,42,33.35,0.556
1265,13,56,43,37.04,0.617
1266,13,57,44,37.04,0.617
1267,13,58,45,37.04,0.617
1268,13,59,46,37.04,0.617
1269,13,60,47,37.04,0.617
1270,13,61,48,40.93,0.682
1271,13,62,49,40.93,0.682
1272,13,63,50,40.93,0.682
1273,13,64,51,40.93,0.682
1274,13,65,52,40.93,0.682
1275,13,66,53,42.12,0.702
1276,13,67,54,42.12,0.702
1277,13,68,55,42.12,0.702
1278,13,69,56,42.12,0.702
1279,13,70,57,42.12,0.702
1280,13,71,58,42.04,0.701
1281,13,72,59,42.04,0.701
1282,13,73,60,42.04,0.701
1283,13,74,61,42.04,0.701
1284,13,75,62,42.04,0.701
1285,13,76,63,45.49,0.758
1286,13,77,64,45.49,0.758
1287,13,78,65,45.49,0.758
1288,13,79,66,45.49,0.758
1289,13,80,67,45.49,0.758
1290,13,81,68,45.49,0.758
1291,13,82,69,45.49,0.758
1292,13,83,70,45.49,0.758
1293,13,84,71,45.49,0.758
1294,13,85,72,45.49,0.758
1295,13,86,73,45.49,0.758
1296,13,87,74,45.49,0.758
1297,13,88,75,45.49,0.758
1298,13,89,76,45.49,0.758
1299,13,90,77,45.49,0.758
1300,13,91,78,46.2,0.77
1301,13,92,79,46.2,0.77
1302,13,93,80,49.23,0.821
1303,13,94,81,49.23,0.821
1304,13,95,82,49.23,0.821
1305,13,96,83,49.23,0.821
1306,13,97,84,49.23,0.821
1307,13,98,85,51.37,0.856
1308,13,99,86,51.37,0.856
1309,13,100,87,52.02,0.867
1310,14,15,1,7.94,0.132
1311,14,16,2,7.94,0.132
1312,14,17,3,7.94,0.132
1313,14,18,4,7.94,0.132
1314,14,19,5,7.94,0.132
1315,14,20,6,7.94,0.132
1316,14,21,7,7.94,0.132
1317,14,22,8,7.8,0.13
1318,14,23,9,7.8,0.13
1319,14,24,10,7.8,0.13
1320,14,25,11,7.8,0.13
1321,14,26,12,7.8,0.13
1322,14,27,13,13.88,0.231
1323,14,28,14,13.88,0.231
1324,14,29,15,13.88,0.231
1325,14,30,16,13.88,0.231
1326,14,31,17,13.88,0.231
1327,14,32,18,18.05,0.301
1328,14,33,19,18.05,0.301
1329,14,34,20,18.05,0.301
1330,14,35,21,18.05,0.301
1331,14,36,22,18.05,0.301
1332,14,37,23,18.14,0.302
1333,14,38,24,18.14,0.302
1334,14,39,25,18.14,0.302
1335,14,40,26,18.14,0.302
1336,14,41,27,18.14,0.302
1337,14,42,28,20.86,0.348
1338,14,43,29,20.86,0.348
1339,14,44,30,20.86,0.348
1340,14,45,31,20.86,0.348
1341,14,46,32,20.86,0.348
1342,14,47,33,30.99,0.517
1343,14,48,34,30.99,0.517
1344,14,49,35,30.99,0.517
1345,14,50,36,30.99,0.517
1346,14,51,37,30.99,0.517
1347,14,52,38,33.35,0.556
1348,14,53,39,33.35,0.556
1349,14,54,40,33.35,0.556
1350,14,55,41,33.35,0.556
1351,14,56,42,33.35,0.556
1352,14,57,43,37.04,0.617
1353,14,58,44,37.04,0.617
1354,14,59,45,37.04,0.617
1355,14,60,46,37.04,0.617
1356,14,61,47,37.04,0.617
1357,14,62,48,40.93,0.682
1358,14,63,49,40.93,0.682
1359,14,64,50,40.93,0.682
1360,14,65,51,40.93,0.682
1361,14,66,52,40.93,0.682
1362,14,67,53,42.12,0.702
1363,14,68,54,42.12,0.702
1364,14,69,55,42.12,0.702
1365,14,70,56,42.12,0.702
1366,14,71,57,42.12,0.702
1367,14,72,58,42.04,0.701
1368,14,73,59,42.04,0.701
1369,14,74,60,42.04,0.701
1370,14,75,61,42.04,0.701
1371,14,76,62,42.04,0.701
1372,14,77,63,45.49,0.758
1373,14,78,64,45.49,0.758
1374,14,79,65,45.49,0.758
1375,14,80,66,45.49,0.758
1376,14,81,67,45.49,0.758
1377,14,82,68,45.49,0.758
1378,14,83,69,45.49,0.758
1379,14,84,70,45.49,0.758
1380,14,85,71,45.49,0.758
1381,14,86,72,45.49,0.758
1382,14,87,73,45.49,0.758
1383,14,88,74,45.49,0.758
1384,14,89,75,45.49,0.758
1385,14,90,76,45.49,0.758
1386,14,91,77,46.2,0.77
1387,14,92,78,46.2,0.77
1388,14,93,79,49.23,0.821
1389,14,94,80,49.23,0.821
1390,14,95,81,49.23,0.821
1391,14,96,82,49.23,0.821
1392,14,97,83,49.23,0.821
1393,14,98,84,51.37,0.856
1394,14,99,85,51.37,0.856
1395,14,100,86,52.02,0.867
1396,15,16,1,7.94,0.132
1397,15,17,2,7.94,0.132
1398,15,18,3,7.94,0.132
1399,15,19,4,7.94,0.132
1400,15,20,5,7.94,0.132
1401,15,21,6,7.94,0.132
1402,15,22,7,7.94,0.132
1403,15,23,8,7.8,0.13
1404,15,24,9,7.8,0.13
1405,15,25,10,7.8,0.13
1406,15,26,11,7.8,0.13
1407,15,27,12,7.8,0.13
1408,15,28,13,13.88,0.231
1409,15,29,14,13.88,0.231
1410,15,30,15,13.88,0.231
1411,15,31,16,13.88,0.231
1412,15,32,17,13.88,0.231
1413,15,33,18,18.05,0.301
1414,15,34,19,18.05,0.301
1415,15,35,20,18.05,0.301
1416,15,36,21,18.05,0.301
1417,15,37,22,18.05,0.301
1418,15,38,23,18.14,0.302
1419,15,39,24,18.14,0.302
1420,15,40,25,18.14,0.302
1421,15,41,26,18.14,0.302
1422,15,42,27,18.14,0.302
1423,15,43,28,20.86,0.348
1424,15,44,29,20.86,0.348
1425,15,45,30,20.86,0.348
1426,15,46,31,20.86,0.348
1427,15,47,32,20.86,0.348
1428,15,48,33,30.99,0.517
1429,15,49,34,30.99,0.517
1430,15,50,35,30.99,0.517
1431,15,51,36,30.99,0.517
1432,15,52,37,30.99,0.517
1433,15,53,38,33.35,0.556
1434,15,54,39,33.35,0.556
1435,15,55,40,33.35,0.556
1436,15,56,41,33.35,0.556
1437,15,57,42,33.35,0.556
1438,15,58,43,37.04,0.617
1439,15,59,44,37.04,0.617
1440,15,60,45,37.04,0.617
1441,15,61,46,37.04,0.617
1442,15,62,47,37.04,0.617
1443,15,63,48,40.93,0.682
1444,15,64,49,40.93,0.682
1445,15,65,50,40.93,0.682
1446,15,66,51,40.93,0.682
1447,15,67,52,40.93,0.682
1448,15,68,53,42.12,0.702
1449,15,69,54,42.12,0.702
1450,15,70,55,42.12,0.702
1451,15,71,56,42.12,0.702
1452,15,72,57,42.12,0.702
1453,15,73,58,42.04,0.701
1454,15,74,59,42.04,0.701
1455,15,75,60,42.04,0.701
1456,15,76,61,42.04,0.701
1457,15,77,62,42.04,0.701
1458,15,78,63,45.49,0.758
1459,15,79,64,45.49,0.758
1460,15,80,65,45.49,0.758
1461,15,81,66,45.49,0.758
1462,15,82,67,45.49,0.758
1463,15,83,68,45.49,0.758
1464,15,84,69,45.49,0.758
1465,15,85,70,45.49,0.758
1466,15,86,71,45.49,0.758
1467,15,87,72,45.49,0.758
1468,15,88,73,45.49,0.758
1469,15,89,74,45.49,0.758
1470,15,90,75,45.49,0.758
1471,15,91,76,46.2,0.77
1472,15,92,77,46.2,0.77
1473,15,93,78,49.23,0.821
1474,15,94,79,49.23,0.821
1475,15,95,80,49.23,0.821
1476,15,96,81,49.23,0.821
1477,15,97,82,49.23,0.821
1478,15,98,83,51.37,0.856
1479,15,99,84,51.37,0.856
1480,15,100,85,52.02,0.867
1481,16,17,1,7.94,0.132
1482,16,18,2,7.94,0.132
1483,16,19,3,7.94,0.132
1484,16,20,4,7.94,0.132
1485,16,21,5,7.94,0.132
1486,16,22,6,7.94,0.132
1487,16,23,7,7.94,0.132
1488,16,24,8,7.8,0.13
1489,16,25,9,7.8,0.13
1490,16,26,10,7.8,0.13
1491,16,27,11,7.8,0.13
1492,16,28,12,7.8,0.13
1493,16,29,13,13.88,0.231
1494,16,30,14,13.88,0.231
1495,16,31,15,13.88,0.231
1496,16,32,16,13.88,0.231
1497,16,33,17,13.88,0.231
1498,16,34,18,18.05,0.301
1499,16,35,19,18.05,0.301
1500,16,36,20,18.05,0.301
1501,16,37,21,18.05,0.301
1502,16,38,22,18.05,0.301
1503,16,39,23,18.14,0.302
1504,16,40,24,18.14,0.302
1505,16,41,25,18.14,0.302
1506,16,42,26,18.14,0.302
1507,16,43,27,18.14,0.302
1508,16,44,28,20.86,0.348
1509,16,45,29,20.86,0.348
1510,16,46,30,20.86,0.348
1511,16,47,31,20.86,0.348
1512,16,48,32,20.86,0.348
1513,16,49,33,30.99,0.517
1514,16,50,34,30.99,0.517
1515,16,51,35,30.99,0.517
1516,16,52,36,30.99,0.517
1517,16,53,37,30.99,0.517
1518,16,54,38,33.35,0.556
1519,16,55,39,33.35,0.556
1520,16,56,40,33.35,0.556
1521,16,57,41,33.35,0.556
1522,16,58,42,33.35,0.556
1523,16,59,43,37.04,0.617
1524,16,60,44,37.04,0.617
1525,16,61,45,37.04,0.617
1526,16,62,46,37.04,0.617
1527,16,63,47,37.04,0.617
1528,16,64,48,40.93,0.682
1529,16,65,49,40.93,0.682
1530,16,66,50,40.93,0.682
1531,16,67,51,40.93,0.682
1532,16,68,52,40.93,0.682
1533,16,69,53,42.12,0.702
1534,16,70,54,42.12,0.702
1535,16,71,55,42.12,0.702
1536,16,72,56,42.12,0.702
1537,16,73,57,42.12,0.702
1538,16,74,58,42.04,0.701
1539,16,75,59,42.04,0.701
1540,16,76,60,42.04,0.701
1541,16,77,61,42.04,0.701
1542,16,78,62,42.04,0.701
1543,16,79,63,45.49,0.758
1544,16,80,64,45.49,0.758
1545,16,81,65,45.49,0.758
1546,16,82,66,45.49,0.758
1547,16,83,67,45.49,0.758
1548,16,84,68,45.49,0.758
1549,16,85,69,45.49,0.758
1550,16,86,70,45.49,0.758
1551,16,87,71,45.49,0.758
1552,16,88,72,45.49,0.758
1553,16,89,73,45.49,0.758
1554,16,90,74,45.49,0.758
1555,16,91,75,46.2,0.77
1556,16,92,76,46.2,0.77
1557,16,93,77,49.23,0.821
1558,16,94,78,49.23,0.821
1559,16,95,79,49.23,0.821
1560,16,96,80,49.23,0.821
1561,16,97,81,49.23,0.821
1562,16,98,82,51.37,0.856
1563,16,99,83,51.37,0.856
1564,16,100,84,52.02,0.867
1565,17,18,1,7.94,0.132
1566,17,19,2,7.94,0.132
1567,17,20,3,7.94,0.132
1568,17,21,4,7.94,0.132
1569,17,22,5,7.94,0.132
1570,17,23,6,7.94,0.132
1571,17,24,7,7.94,0.132
1572,17,25,8,7.8,0.13
1573,17,26,9,7.8,0.13
1574,17,27,10,7.8,0.13
1575,17,28,11,7.8,0.13
1576,17,29,12,7.8,0.13
1577,17,30,13,13.88,0.231
1578,17,31,14,13.88,0.231
1579,17,32,15,13.88,0.231
1580,17,33,16,13.88,0.231
1581,17,34,17,13.88,0.231
1582,17,35,18,18.05,0.301
1583,17,36,19,18.05,0.301
1584,17,37,20,18.05,0.301
1585,17,38,21,18.05,0.301
1586,17,39,22,18.05,0.301
1587,17,40,23,18.14,0.302
1588,17,41,24,18.14,0.302
1589,17,42,25,18.14,0.302
1590,17,43,26,18.14,0.302
1591,17,44,27,18.14,0.302
1592,17,45,28,20.86,0.348
1593,17,46,29,20.86,0.348
1594,17,47,30,20.86,0.348
1595,17,48,31,20.86,0.348
1596,17,49,32,20.86,0.348
1597,17,50,33,30.99,0.517
1598,17,51,34,30.99,0.517
1599,17,52,35,30.99,0.517
1600,17,53,36,30.99,0.517
1601,17,54,37,30.99,0.517
1602,17,55,38,33.35,0.556
1603,17,56,39,33.35,0.556
1604,17,57,40,33.35,0.556
1605,17,58,41,33.35,0.556
1606,17,59,42,33.35,0.556
1607,17,60,43,37.04,0.617
1608,17,61,44,37.04,0.617
1609,17,62,45,37.04,0.617
1610,17,63,46,37.04,0.617
1611,17,64,47,37.04,0.617
1612,17,65,48,40.93,0.682
1613,17,66,49,40.93,0.682
1614,17,67,50,40.93,0.682
1615,17,68,51,40.93,0.682
1616,17,69,52,40.93,0.682
1617,17,70,53,42.12,0.702
1618,17,71,54,42.12,0.702
1619,17,72,55,42.12,0.702
1620,17,73,56,42.12,0.702
1621,17,74,57,42.12,0.702
1622,17,75,58,42.04,0.701
1623,17,76,59,42.04,0.701
1624,17,77,60,42.04,0.701
1625,17,78,61,42.04,0.701
1626,17,79,62,42.04,0.701
1627,17,80,63,45.49,0.758
1628,17,81,64,45.49,0.758
1629,17,82,65,45.49,0.758
1630,17,83,66,45.49,0.758
1631,17,84,67,45.49,0.758
1632,17,85,68,45.49,0.758
1633,17,86,69,45.49,0.758
1634,17,87,70,45.49,0.758
1635,17,88,71,45.49,0.758
1636,17,89,72,45.49,0.758
1637,17,90,73,45.49,0.758
1638,17,91,74,46.2,0.77
1639,17,92,75,46.2,0.77
1640,17,93,76,49.23,0.821
1641,17,94,77,49.23,0.821
1642,17,95,78,49.23,0.821
1643,17,96,79,49.23,0.821
1644,17,97,80,49.23,0.821
1645,17,98,81,51.37,0.856
1646,17,99,82,51.37,0.856
1647,17,100,83,52.02,0.867
1648,18,19,1,7.94,0.132
1649,18,20,2,7.94,0.132
1650,18,21,3,7.94,0.132
1651,18,22,4,7.94,0.132
1652,18,23,5,7.94,0.132
1653,18,24,6,7.94,0.132
1654,18,25,7,7.94,0.132
1655,18,26,8,7.8,0.13
1656,18,27,9,7.8,0.13
1657,18,28,10,7.8,0.13
1658,18,29,11,7.8,0.13
1659,18,30,12,7.8,0.13
1660,18,31,13,13.88,0.231
1661,18,32,14,13.88,0.231
1662,18,33,15,13.88,0.231
1663,18,34,16,13.88,0.231
1664,18,35,17,13.88,0.231
1665,18,36,18,18.05,0.301
1666,18,37,19,18.05,0.301
1667,18,38,20,18.05,0.301
1668,18,39,21,18.05,0.301
1669,18,40,22,18.05,0.301
1670,18,41,23,18.14,0.302
1671,18,42,24,18.14,0.302
1672,18,43,25,18.14,0.302
1673,18,44,26,18.14,0.302
1674,18,45,27,18.14,0.302
1675,18,46,28,20.86,0.348
1676,18,47,29,20.86,0.348
1677,18,48,30,20.86,0.348
1678,18,49,31,20.86,0.348
1679,18,50,32,20.86,0.348
1680,18,51,33,30.99,0.517
1681,18,52,34,30.99,0.517
1682,18,53,35,30.99,0.517
1683,18,54,36,30.99,0.517
1684,18,55,37,30.99,0.517
1685,18,56,38,33.35,0.556
1686,18,57,39,33.35,0.556
1687,18,58,40,33.35,0.556
1688,18,59,41,33.35,0.556
1689,18,60,42,33.35,0.556
1690,18,61,43,37.04,0.617
1691,18,62,44,37.04,0.617
1692,18,63,45,37.04,0.617
1693,18,64,46,37.04,0.617
1694,18,65,47,37.04,0.617
1695,18,66,48,40.93,0.682
1696,18,67,49,40.93,0.682
1697,18,68,50,40.93,0.682
1698,18,69,51,40.93,0.682
1699,18,70,52,40.93,0.682
1700,18,71,53,42.12,0.702
1701,18,72,54,42.12,0.702
1702,18,73,55,42.12,0.702
1703,18,74,56,42.12,0.702
1704,18,75,57,42.12,0.702
1705,18,76,58,42.04,0.701
1706,18,77,59,42.04,0.701
1707,18,78,60,42.04,0.701
1708,18,79,61,42.04,0.701
1709,18,80,62,42.04,0.701
1710,18,81,63,45.49,0.758
1711,18,82,64,45.49,0.758
1712,18,83,65,45.49,0.758
1713,18,84,66,45.49,0.758
1714,18,85,67,45.49,0.758
1715,18,86,68,45.49,0.758
1716,18,87,69,45.49,0.758
1717,18,88,70,45.49,0.758
1718,18,89,71,45.49,0.758
1719,18,90,72,45.49,0.758
1720,18,91,73,46.2,0.77
1721,18,92,74,46.2,0.77
1722,18,93,75,49.23,0.821
1723,18,94,76,49.23,0.821
1724,18,95,77,49.23,0.821
1725,18,96,78,49.23,0.821
1726,18,97,79,49.23,0.821
1727,18,98,80,51.37,0.856
1728,18,99,81,51.37,0.856
1729,18,100,82,52.02,0.867
1730,19,20,1,7.94,0.132
1731,19,21,2,7.94,0.132
1732,19,22,3,7.94,0.132
1733,19,23,4,7.94,0.132
1734,19,24,5,7.94,0.132
1735,19,25,6,7.94,0.132
1736,19,26,7,7.94,0.132
1737,19,27,8,7.8,0.13
1738,19,28,9,7.8,0.13
1739,19,29,10,7.8,0.13
1740,19,30,11,7.8,0.13
1741,19,31,12,7.8,0.13
1742,19,32,13,13.88,0.231
1743,19,33,14,13.88,0.231
1744,19,34,15,13.88,0.231
1745,19,35,16,13.88,0.231
1746,19,36,17,13.88,0.231
1747,19,37,18,18.05,0.301
1748,19,38,19,18.05,0.301
1749,19,39,20,18.05,0.301
1750,19,40,21,18.05,0.301
1751,19,41,22,18.05,0.301
1752,19,42,23,18.14,0.302
1753,19,43,24,18.14,0.302
1754,19,44,25,18.14,0.302
1755,19,45,26,18.14,0.302
1756,19,46,27,18.14,0.302
1757,19,47,28,20.86,0.348
1758,19,48,29,20.86,0.348
1759,19,49,30,20.86,0.348
1760,19,50,31,20.86,0.348
1761,19,51,32,20.86,0.348
1762,19,52,33,30.99,0.517
1763,19,53,34,30.99,0.517
1764,19,54,35,30.99,0.517
1765,19,55,36,30.99,0.517
1766,19,56,37,30.99,0.517
1767,19,57,38,33.35,0.556
1768,19,58,39,33.35,0.556
1769,19,59,40,33.35,0.556
1770,19,60,41,33.35,0.556
1771,19,61,42,33.35,0.556
1772,19,62,43,37.04,0.617
1773,19,63,44,37.04,0.617
1774,19,64,45,37.04,0.617
1775,19,65,46,37.04,0.617
1776,19,66,47,37.04,0.617
1777,19,67,48,40.93,0.682
1778,19,68,49,40.93,0.682
1779,19,69,50,40.93,0.682
1780,19,70,51,40.93,0.682
1781,19,71,52,40.93,0.682
1782,19,72,53,42.12,0.702
1783,19,73,54,42.12,0.702
1784,19,74,55,42.12,0.702
1785,19,75,56,42.12,0.702
1786,19,76,57,42.12,0.702
1787,19,77,58,42.04,0.701
1788,19,78,59,42.04,0.701
1789,19,79,60,42.04,0.701
1790,19,80,61,42.04,0.701
1791,19,81,62,42.04,0.701
1792,19,82,63,45.49,0.758
1793,19,83,64,45.49,0.758
1794,19,84,65,45.49,0.758
1795,19,85,66,45.49,0.758
1796,19,86,67,45.49,0.758
1797,19,87,68,45.49,0.758
1798,19,88,69,45.49,0.758
1799,19,89,70,45.49,0.758
1800,19,90,71,45.49,0.758
1801,19,91,72,46.2,0.77
1802,19,92,73,46.2,0.77
1803,19,93,74,49.23,0.821
1804,19,94,75,49.23,0.821
1805,19,95,76,49.23,0.821
1806,19,96,77,49.23,0.821
1807,19,97,78,49.23,0.821
1808,19,98,79,51.37,0.856
1809,19,99,80,51.37,0.856
1810,19,100,81,52.02,0.867
1811,20,21,1,7.94,0.132
1812,20,22,2,7.94,0.132
1813,20,23,3,7.94,0.132
1814,20,24,4,7.94,0.132
1815,20,25,5,7.94,0.132
1816,20,26,6,7.94,0.132
1817,20,27,7,7.94,0.132
1818,20,28,8,7.8,0.13
1819,20,29,9,7.8,0.13
1820,20,30,10,7.8,0.13
1821,20,31,11,7.8,0.13
1822,20,32,12,7.8,0.13
1823,20,33,13,13.88,0.231
1824,20,34,14,13.88,0.231
1825,20,35,15,13.88,0.231
1826,20,36,16,13.88,0.231
1827,20,37,17,13.88,0.231
1828,20,38,18,18.05,0.301
1829,20,39,19,18.05,0.301
1830,20,40,20,18.05,0.301
1831,20,41,21,18.05,0.301
1832,20,42,22,18.05,0.301
1833,20,43,23,18.14,0.302
1834,20,44,24,18.14,0.302
1835,20,45,25,18.14,0.302
1836,20,46,26,18.14,0.302
1837,20,47,27,18.14,0.302
1838,20,48,28,20.86,0.348
1839,20,49,29,20.86,0.348
1840,20,50,30,20.86,0.348
1841,20,51,31,20.86,0.348
1842,20,52,32,20.86,0.348
1843,20,53,33,30.99,0.517
1844,20,54,34,30.99,0.517
1845,20,55,35,30.99,0.517
1846,20,56,36,30.99,0.517
1847,20,57,37,30.99,0.517
1848,20,58,38,33.35,0.556
1849,20,59,39,33.35,0.556
1850,20,60,40,33.35,0.556
1851,20,61,41,33.35,0.556
1852,20,62,42,33.35,0.556
1853,20,63,43,37.04,0.617
1854,20,64,44,37.04,0.617
1855,20,65,45,37.04,0.617
1856,20,66,46,37.04,0.617
1857,20,67,47,37.04,0.617
1858,20,68,48,40.93,0.682
1859,20,69,49,40.93,0.682
1860,20,70,50,40.93,0.682
1861,20,71,51,40.93,0.682
1862,20,72,52,40.93,0.682
1863,20,73,53,42.12,0.702
1864,20,74,54,42.12,0.702
1865,20,75,55,42.12,0.702
1866,20,76,56,42.12,0.702
1867,20,77,57,42.12,0.702
1868,20,78,58,42.04,0.701
1869,20,79,59,42.04,0.701
1870,20,80,60,42.04,0.701
1871,20,81,61,42.04,0.701
1872,20,82,62,42.04,0.701
1873,20,83,63,45.49,0.758
1874,20,84,64,45.49,0.758
1875,20,85,65,45.49,0.758
1876,20,86,66,45.49,0.758
1877,20,87,67,45.49,0.758
1878,20,88,68,45.49,0.758
1879,20,89,69,45.49,0.758
1880,20,90,70,45.49,0.758
1881,20,91,71,46.2,0.77
1882,20,92,72,46.2,0.77
1883,20,93,73,49.23,0.821
1884,20,94,74,49.23,0.821
1885,20,95,75,49.23,0.821
1886,20,96,76,49.23,0.821
1887,20,97,77,49.23,0.821
1888,20,98,78,51.37,0.856
1889,20,99,79,51.37,0.856
1890,20,100,80,52.02,0.867
1891,21,22,1,7.94,0.132
1892,21,23,2,7.94,0.132
1893,21,24,3,7.94,0.132
1894,21,25,4,7.94,0.132
1895,21,26,5,7.94,0.132
1896,21,27,6,7.94,0.132
1897,21,28,7,7.94,0.132
1898,21,29,8,7.8,0.13
1899,21,30,9,7.8,0.13
1900,21,31,10,7.8,0.13
1901,21,32,11,7.8,0.13
1902,21,33,12,7.8,0.13
1903,21,34,13,13.88,0.231
1904,21,35,14,13.88,0.231
1905,21,36,15,13.88,0.231
1906,21,37,16,13.88,0.231
1907,21,38,17,13.88,0.231
1908,21,39,18,18.05,0.301
1909,21,40,19,18.05,0.301
1910,21,41,20,18.05,0.301
1911,21,42,21,18.05,0.301
1912,21,43,22,18.05,0.301
1913,21,44,23,18.14,0.302
1914,21,45,24,18.14,0.302
1915,21,46,25,18.14,0.302
1916,21,47,26,18.14,0.302
1917,21,48,27,18.14,0.302
1918,21,49,28,20.86,0.348
1919,21,50,29,20.86,0.348
1920,21,51,30,20.86,0.348
1921,21,52,31,20.86,0.348
1922,21,53,32,20.86,0.348
1923,21,54,33,30.99,0.517
1924,21,55,34,30.99,0.517
1925,21,56,35,30.99,0.517
1926,21,57,36,30.99,0.517
1927,21,58,37,30.99,0.517
1928,21,59,38,33.35,0.556
1929,21,60,39,33.35,0.556
1930,21,61,40,33.35,0.556
1931,21,62,41,33.35,0.556
1932,21,63,42,33.35,0.556
1933,21,64,43,37.04,0.617
1934,21,65,44,37.04,0.617
1935,21,66,45,37.04,0.617
1936,21,67,46,37.04,0.617
1937,21,68,47,37.04,0.617
1938,21,69,48,40.93,0.682
1939,21,70,49,40.93,0.682
1940,21,71,50,40.93,0.682
1941,21,72,51,40.93,0.682
1942,21,73,52,40.93,0.682
1943,21,74,53,42.12,0.702
1944,21,75,54,42.12,0.702
1945,21,76,55,42.12,0.702
1946,21,77,56,42.12,0.702
1947,21,78,57,42.12,0.702
1948,21,79,58,42.04,0.701
1949,21,80,59,42.04,0.701
1950,21,81,60,42.04,0.701
1951,21,82,61,42.04,0.701
1952,21,83,62,42.04,0.701
1953,21,84,63,45.49,0.758
1954,21,85,64,45.49,0.758
1955,21,86,65,45.49,0.758
1956,21,87,66,45.49,0.758
1957,21,88,67,45.49,0.758
1958,21,89,68,45.49,0.758
1959,21,90,69,45.49,0.758
1960,21,91,70,46.2,0.77
1961,21,92,71,46.2,0.77
1962,21,93,72,49.23,0.821
1963,21,94,73,49.23,0.821
1964,21,95,74,49.23,0.821
1965,21,96,75,49.23,0.821
1966,21,97,76,49.23,0.821
1967,21,98,77,51.37,0.856
1968,21,99,78,51.37,0.856
1969,21,100,79,52.02,0.867
1970,22,23,1,7.94,0.132
1971,22,24,2,7.94,0.132
1972,22,25,3,7.94,0.132
1973,22,26,4,7.94,0.132
1974,22,27,5,7.94,0.132
1975,22,28,6,7.94,0.132
1976,22,29,7,7.94,0.132
1977,22,30,8,7.8,0.13
1978,22,31,9,7.8,0.13
1979,22,32,10,7.8,0.13
1980,22,33,11,7.8,0.13
1981,22,34,12,7.8,0.13
1982,22,35,13,13.88,0.231
